HELLO,1,English
HI,1,English
GOODMORNING,2,English
HEY,1,English
GOODEVENING,3,English
SALUT,1,France
BONJOUR,1,France
BONJOUR,2,France
BONSOIR,3,France
BUENASDIAS,2,Spain
BUENASTARDES,1,Spain
HOLA,1,Spain
BUENASNOCHES,3,Spain
CIAO,1,Italy
BUONGIORNO,2,Italy
BUONGIORNO,1,Italy
BUONASERA,1,Italy
BUONASERA,3,Italy
SELAMATPAGI,2,Indonesia
SELAMATSIANG,1,Indonesia
SELAMATMALAN,3,Indonesia
GODMORGON,2,Norway
HEJSAN,1,Norway
HEJ,1,Norway
HALLO,3,Germany
GUTENMORGEN,2,Germany
GUTENTAG,1,Germany
GUTENACHT,3,Germany
GOEIEDAG,1,Netherlands
GOEDEMORGEN,2,Netherlands
GOEIEMORGEN,2,Netherlands
GOEIEAVOND,3,Netherlands
SOBHBEKHEIR,2,Persia
SALAM,1,Persia
SUZBEKHEIR,1,Persia
SHABBEKHEIR,3,Persia
BOMDIA,2,Portugal
BOATARDE,1,Portugal
BOANOITE,3,Portugal
SABAHALKHER,2,Arabia
MARHABA,1,Arabia
ALSALAMALAYKUM,1,Arabia
SABAHANNUR,3,Arabia
OHAYOU,2,Japan
KONNNITIHA,1,Japan
KONNBANNHA,3,Japan
SABALKHERI,2,Swahili
JUMBO,1,Swahili
MASALKHERI,3,Swahili
SIJAMBO,1,Swahili
HUJAMBO,1,Swahili
HAJAMBO,1,Swahili
HATUJAMBO,1,Swahili
HAMJAMBO,1,Swahili
HAWAJAMBO,1,Swahili
NAMASTE,1,Nepali
NAMASTE,2,Nepali
NAMASTE,3,Nepali
ALLINSUKHA,1,Quechua
ALLINTUTA,3,Quechua
MARHABA,1,Modern Standard Arabic
SABAHLKHEIR,2,Modern Standard Arabic
MASAULKHEIR,3,Modern Standard Arabic
NAMASTE,1,Hindi
SELAMATPAGI,2,Malay
SELAMATPETANG,1,Malay
SELAMATMALAM,3,Malay
KIAORA,1,Maori
TENAKOE,1,Maori
MORENA,2,Maori
KIAORA,3,Maori
DOBROJUTRO,2,Hrvatski
DOBARDAN,1,Hrvatski
GODMORGEN,2,Denmark
GODAFTEN,3,Denmark
TERE,1,Eestikeel
TEREHOMMIKUST,2,Eestikeel
HEI,1,Suomi
TERVE,1,Suomi
MOI,1,Suomi
HUOMENTA,2,Suomi
ILTAA,3,Suomi
GAMARJHOVA,1,Kartuli ena
DIADUIT,1,Irish
SHALOM,1,Hebrew
BOKERTOV,2,Hebrew
BOKEROR,2,Hebrew
EREVTOV,3,Hebrew
LABDIEN,1,Latvia
LABRIT,2,Latvia
LABVAKAR,3,Latvia
KABASRYTAS,1,Lietuvos
LABADIENA,2,Lietuvos
LABASVAKARAS,3,Lietuvos
MOIEN,1,Luxemburg
HELLO,1,Malta
BONGU,2,Malta
BONSWA,3,Malta
HALO,1,Polski
SAWUBONA,1,Afrikaans
SANIBONA,1,Afrikaans
SANIBONANI,1,Afrikaans
ANNEONG,1,Korea
MERHABA,1,Turkish
XINCHAO,1,VietNam
AHOJ,1,Czech Republic
BOG,1,Croatia
CZESC,1,Poland
